dataset,engine,mean_latency_ms,p95_latency_ms,throughput_rps,gpu_energy_j,mean_speedup_vs_no_cache,p95_speedup_vs_no_cache,mean_latency_improvement_pct,p95_latency_improvement_pct,gpu_energy_improvement_pct,hit_rate,reuse_successes,bypassed_matches
daily_dialog,shadow_kv_plus_lite,133.962067,135.68737,5.445786,11422.709,1.200716,1.376606,16.716333,27.357576,17.47867,0.992188,127,0
dolly,shadow_kv_plus_lite,134.573701,138.415736,5.445905,11481.692,1.205401,1.392594,17.040081,28.191564,17.534851,0.992188,127,0
oasst1,shadow_kv_plus_lite,135.018871,136.979643,5.332358,11499.103,1.222985,1.42293,18.232845,29.722479,18.8857,0.992188,127,0
samsum,shadow_kv_plus_lite,121.829732,123.253286,5.817092,9812.698,1.449215,1.791971,30.997113,44.195517,35.07617,0.992188,127,0
ultrachat,shadow_kv_plus_lite,115.855117,116.182488,5.952367,9412.315,1.842621,1.925198,45.729478,48.057294,47.9336,0.992188,127,0
xsum,shadow_kv_plus_lite,93.552209,94.127787,6.917581,7190.019,2.381629,2.569278,58.011938,61.078559,61.150016,0.992188,127,0
ag_news,shadow_kv_plus_best_latency,135.662561,138.565994,5.332377,11597.965,1.137524,1.136535,12.089755,12.013283,12.024934,0.992188,127,0
alpaca_eval,shadow_kv_plus_best_latency,140.114068,144.808461,5.223682,11498.815,1.092327,1.094433,8.452336,8.628484,12.534497,0.992188,127,0
banking77,shadow_kv_plus_best_latency,142.963374,145.048272,5.119037,11564.273,1.082653,1.125844,7.634328,11.177726,13.205895,0.992188,127,0
cnn_dailymail,shadow_kv_plus_best_latency,85.765582,86.056089,7.312846,6687.571,2.683788,2.926893,62.739235,65.834073,65.602218,0.992188,127,0
daily_dialog,shadow_kv_plus_best_latency,134.232962,135.773044,5.445893,11431.68,1.198292,1.375737,16.547919,27.311709,17.41386,0.992188,127,0
dolly,shadow_kv_plus_best_latency,134.59763,138.591627,5.445841,11477.822,1.205187,1.390827,17.025329,28.100314,17.562646,0.992188,127,0
oasst1,shadow_kv_plus_best_latency,134.977488,136.894485,5.33244,11500.864,1.22336,1.423815,18.257906,29.76617,18.873278,0.992188,127,0
samsum,shadow_kv_plus_best_latency,121.804872,123.396277,5.817226,9774.828,1.449511,1.789894,31.011193,44.130776,35.32673,0.992188,127,0
ultrachat,shadow_kv_plus_best_latency,116.02874,116.590197,5.952417,9404.202,1.839864,1.918466,45.648147,47.875016,47.978478,0.992188,127,0
xsum,shadow_kv_plus_best_latency,93.617423,93.763628,6.917599,7176.756,2.37997,2.579256,57.982669,61.229137,61.22168,0.992188,127,0
ag_news,shadow_kv_plus_raw_observer,136.223406,139.004588,5.332324,11561.349,1.132841,1.132949,11.726324,11.734785,12.30268,0.992188,127,0
alpaca_eval,shadow_kv_plus_raw_observer,141.683946,144.736867,5.223073,11520.278,1.080224,1.094974,7.42661,8.673659,12.371239,0.992188,127,0
banking77,shadow_kv_plus_raw_observer,134.831441,141.3865,5.332309,11303.637,1.14795,1.155002,12.888201,13.420062,15.162063,0.992188,127,0
cnn_dailymail,shadow_kv_plus_raw_observer,85.232682,85.783696,7.312966,6650.881,2.700568,2.936187,62.970753,65.942218,65.790935,0.992188,127,0
daily_dialog,shadow_kv_plus_raw_observer,134.627999,139.074546,5.332256,11485.006,1.194776,1.343079,16.302326,25.544197,17.028616,0.992188,127,0
dolly,shadow_kv_plus_raw_observer,134.386602,139.217563,5.445953,11444.979,1.20708,1.384573,17.15542,27.775586,17.798535,0.992188,127,0
oasst1,shadow_kv_plus_raw_observer,135.145039,137.281071,5.332381,11490.886,1.221843,1.419806,18.156437,29.567832,18.943663,0.992188,127,0
samsum,shadow_kv_plus_raw_observer,121.767216,123.580874,5.817167,9763.281,1.449959,1.787221,31.032521,44.047198,35.403128,0.992188,127,0
ultrachat,shadow_kv_plus_raw_observer,115.698517,116.563465,5.952502,9457.674,1.845115,1.918906,45.802835,47.886967,47.682686,0.992188,127,0
xsum,shadow_kv_plus_raw_observer,93.41835,93.210557,6.91761,7110.61,2.385042,2.594561,58.072017,61.457829,61.579088,0.992188,127,0
