"model_instance","model","dataset","prompt_mode","engine","seed","speedup_vs_no_cache_mean","speedup_vs_no_cache_p95","energy_reduction_vs_no_cache_pct","idle_adjusted_energy_reduction_vs_no_cache_pct","hit_rate","reuse_successes","reused_prefix_tokens_total","wasted_compute_ratio","source_json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","dolly","semantic","shadow_kv","999","0.975425567963773","1.06888674589606","-0.199352120849167","0.154359193762503","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\dolly\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","dolly","semantic","shadow_kv_plus","999","1.08328887932974","1.25516867265135","18.5426757198794","10.1601545392577","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\dolly\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","oasst1","semantic","shadow_kv","42","0.998617161052826","0.998542145255531","-0.170709455628281","-0.96094384094466","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\oasst1\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","oasst1","semantic","shadow_kv_plus","42","1.12792870790381","1.28935963492588","16.3734704955193","18.0381393333854","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\oasst1\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","oasst1","semantic","shadow_kv","123","1.00666384718422","1.13959817878483","-3.80565321060168","1.35413247266138","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\oasst1\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","oasst1","semantic","shadow_kv_plus","123","1.13899395893674","1.28655541296959","14.9196530082386","25.5800636848636","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\oasst1\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","oasst1","semantic","shadow_kv","456","1.03445919827195","1.00430531088139","6.10883999714633","6.73434433957249","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\oasst1\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","oasst1","semantic","shadow_kv_plus","456","1.24322642386811","1.20484579208694","13.0291592815806","19.1616546332075","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\oasst1\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","oasst1","semantic","shadow_kv","789","0.96099850575679","1.03276368495336","7.28639750734049","-2.31521928527759","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\oasst1\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","oasst1","semantic","shadow_kv_plus","789","1.08014221618975","1.30660420871479","20.2444278663048","18.3600957075492","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\oasst1\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","oasst1","semantic","shadow_kv","999","0.980691878285384","0.988530605525005","5.43301939276743","3.07167553402189","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\oasst1\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","oasst1","semantic","shadow_kv_plus","999","1.22051031413066","1.28007427772631","19.8073583195482","15.3276944284265","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\oasst1\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","samsum","semantic","shadow_kv","42","1.00077373391658","1.00088592622164","0.771745215365771","1.38005607164846","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\samsum\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_samsum_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","samsum","semantic","shadow_kv_plus","42","1.41805789713201","1.74960026251991","35.7891083010468","39.186494221988","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\samsum\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_samsum_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","samsum","semantic","shadow_kv","123","0.93443338995801","1.04054198334327","0.451284847519382","0.638445498381363","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\samsum\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_samsum_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","samsum","semantic","shadow_kv_plus","123","1.43645800341557","1.84539416445485","36.152632927954","40.0812856104041","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\samsum\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_samsum_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","samsum","semantic","shadow_kv","456","0.977130680902248","1.02728974948978","4.31048440280743","11.496131830237","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\samsum\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_samsum_semantic_cuda.json"
