model,dataset,prompt_mode,seed,engine,runtime_kind,literature_accurate_external_runtime,mean_latency_ms,p50_latency_ms,p95_latency_ms,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,hit_rate,cached_tokens_total,cached_tokens_mean,wasted_compute_ratio,reuse_attempts,reuse_successes,speculative_hits,speculative_hit_rate,wasted_compute_ms,utility_proxy_ms,policy_plans_total,policy_bypass_total,policy_exact_total,policy_semantic_partial_total,admission_controller_enabled,admission_plans_total,admission_allow_total,admission_bypass_total,admission_runtime_cache_resets,supports_external_kv,supports_native_prefix_caching,source_json
Qwen/Qwen2.5-1.5B-Instruct,samsum,rag,42.0,idle_energy_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_rag_cuda.json
,,,,gpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/samsum/main_hf/run_manifest.json
,,,,env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/samsum/main_hf/run_manifest.json
,,,,config_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/samsum/main_hf/run_manifest.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,rag,42.0,vllm_apc,vllm,True,78.75116982808095,36.769861999346176,70.27173510014106,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/samsum/runtime/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_samsum_rag.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,rag,42.0,vllm_apc_shadowkv_plus,vllm,True,36.146832234408066,32.9266415001257,53.241656798945755,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,64.0,63.0,1.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/samsum/runtime/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_samsum_rag.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,rag,42.0,no_cache,,,63.680876375144635,63.91281899959722,76.1952881023717,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,rag,42.0,shadow_kv_plus_lite,,,64.0481336094183,63.98562999947899,76.83843395061558,0.9942659182465285,0.9916298938541976,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,rag,42.0,shadow_kv_plus,,,60.06010150002794,59.87147999985609,67.11826829869096,1.0602858600749285,1.1352391835153735,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,64.0,1.0,63.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,rag,42.0,shadow_kv,,,60.18730537513761,60.204644500117865,68.38629030044103,1.0580449810509402,1.1141895220171099,0.984375,,,0.0,63.0,63.0,63.0,1.0,0.0,2731.8565891455364,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_rag_cuda.json
