         24895 function calls (24686 primitive calls) in 0.494 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1615(_observe_request)  <-      44    0.000    0.007  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2229(serve_tokens)
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:389(_observe_request)   <-      45    0.001    0.007  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1615(_observe_request)



Callers for _store_reactive_prefix:
----------------------------------------

Callers for _should_attempt_cache_use:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 153 to 1 due to restriction <'_should_attempt_cache_use'>

Function                                                                                               was called by...
                                                                                                           ncalls  tottime  cumtime
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:553(_should_attempt_cache_use)  <-      19    0.000    0.000  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2229(serve_tokens)


