         211833 function calls (211493 primitive calls) in 0.546 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:139(_mark_cache_active)
        8    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:446(_estimate_saved_ms)
       35    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1754(_record_semantic_opportunity)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:880(__init__)
       14    0.000    0.000    0.000    0.000 C:\Python314\Lib\encodings\cp1252.py:18(encode)
      100    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       90    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        4    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\models.py:552(estimate_past_key_values_bytes)
       92    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       83    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
       60    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1777(_default_shadowkv_plus_store_tier)
        6    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:420(_request_cacheable_prefix_limit)
        4    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\models.py:134(slice_past_key_values)
       45    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1247(_check_background_exception)
       27    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       14    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
       16    0.000    0.000    0.000    0.000 {built-in method math.ceil}
        3    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2002(_partial_semantic_reuse)
       19    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:426(_estimate_full_cost_ms)
       35    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\controller.py:39(last_breakdown)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\_weakrefset.py:45(add)
        3    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:120(get_entry)
